x,C
0.011456628,0.001777778
0.031914894,0.001777778
0.052373159,0.001777778
0.083469722,0.001777778
0.112929624,0.001777778
0.144026187,0.001777778
0.171031097,0.001777778
0.193126023,0.001777778
0.223404255,0.001777778
0.256137480,0.003555556
0.281505728,0.005333333
0.306055646,0.007111111
0.328968903,0.023111111
0.346153846,0.035555556
0.371522095,0.065777778
0.384615385,0.092444444
0.394435352,0.120888889
0.405073650,0.167111111
0.414893617,0.204444444
0.423895254,0.248888889
0.430441899,0.298666667
0.436170213,0.344888889
0.443535188,0.401777778
0.447626841,0.460444444
0.450900164,0.508444444
0.454991817,0.554666667
0.457446809,0.593777778
0.463175123,0.641777778
0.467266776,0.693333333
0.472176759,0.743111111
0.477086743,0.794666667
0.483633388,0.849777778
0.489361702,0.883555556
0.495908347,0.917333333
0.509819967,0.963555556
0.523731588,0.995555556
0.536824877,1.000000000
0.551554828,1.000000000
0.561374795,0.972444444
0.563829787,0.935111111
0.568739771,0.885333333
0.572831424,0.821333333
0.576104746,0.771555556
0.581014730,0.693333333
0.582651391,0.618666667
0.585106383,0.549333333
0.587561375,0.476444444
0.589198036,0.412444444
0.590834697,0.344888889
0.593289689,0.268444444
0.595744681,0.192000000
0.597381342,0.124444444
0.599018003,0.067555556
0.606382979,0.030222222
0.616202946,0.010666667
0.631751227,0.001777778
0.667757774,0.001777778
0.710310966,0.001777778
0.748772504,0.001777778
0.791325696,0.001777778
0.831423895,0.001777778
0.867430442,0.001777778
0.897708674,0.001777778
0.940261866,0.001777778
0.971358429,0.001777778
1.000000000,0.001777778
